Field of Degree,"Computers, mathematics, and statistics",Engineering,Physical sciences,"Biological, environmental, and agricultural sciences",Psychology,Social sciences,Multidisciplinary studies,Science- and engineering-related,Business,Education,Literature and languages,Liberal arts and history,Visual and performing arts,Communications,"Other (e.g., criminal justice, social work)"
..Computer workers,"56,615","17,650","3,085","2,860","2,885","9,575",650,"6,825","36,065","2,565","2,290","3,050","2,230","4,925","3,275"
..Engineers,"4,850","40,200","2,305","1,770",570,"1,610",170,"3,610","5,115","1,335",215,"1,055",470,"1,335","2,090"
..Mathematicians and statisticians,"2,050",330,235,355,685,"1,080",285,510,"3,670",140,430,295,0,750,935
..Life scientists,175,610,"1,370","4,520",485,300,60,"1,220",890,205,0,285,185,405,425
..Physical scientists,205,"1,265","4,785","2,725",410,190,0,"1,290","1,365",385,0,165,230,120,110
..Social scientists,35,65,55,360,"5,450","1,565",0,820,"1,800",895,260,415,40,185,"1,210"
..Architects,40,445,0,300,0,85,0,"3,415",75,0,0,0,215,20,35
..Health care,"3,355","2,950","12,310","46,035","13,845","8,665","2,250","174,895","18,375","7,100","3,365","4,440","1,920","2,655","12,500"
..Managers (non-STEM)2,"20,380","25,275","9,525","17,965","25,225","44,570","2,760","27,660","165,600","43,125","11,495","15,340","7,005","21,405","31,715"
..Business and financial,"13,120","8,535","4,615","7,200","12,340","29,995","1,565","11,920","184,435","11,125","7,390","8,795","5,440","15,705","16,910"
..Social services,"1,385","3,205","2,590","4,735","40,215","30,970","2,565","11,850","28,455","19,495","5,960","16,215","2,440","7,900","67,370"
..Legal,"1,855","2,425",935,"1,975","5,075","18,770",455,"1,755","12,665","2,155","4,765","4,740",635,"3,895","8,875"
..Education,"13,650","8,480","7,570","16,680","22,395","30,880","2,770","19,510","48,545","191,115","23,025","19,505","17,395","16,695","29,570"
..Arts and entertainment,"2,135","1,795","1,060","1,320","3,165","4,535",85,"3,060","7,780","3,590","3,445","2,730","13,230","14,765","2,965"
..Service,"8,165","5,395","6,420","10,875","16,130","25,905","2,535","23,630","58,775","22,785","8,300","14,570","9,120","11,120","52,300"
..Sales,"9,375","7,600","4,260","7,315","10,785","17,415","1,330","10,015","86,150","9,985","5,865","8,295","6,530","13,675","13,375"
..Office support,"17,240","8,910","5,965","12,425","23,735","34,040","3,450","21,215","149,260","24,410","10,715","15,215","12,805","25,000","37,505"
..Agriculture,15,295,25,450,80,125,55,115,740,25,0,80,35,0,55